property_id,property_type,property_subtype,price,price_type,living_area_m2,bedrooms,bathrooms,address,postal_code,city,latitude,longitude,building_year,epc_score,region,province,nearby_city,state_of_the_building,furnished,kitchen_equipped,has_garage,parking_count,facades,floors_total,floor_number,has_garden,garden_area_m2,has_terrace,total_area_m2,has_elevator
https://immovlan.be/en/detail/residence/for-sale/1490/court-saint-etienne/vbe33786,House,residence,379000,sell,135,5,1,Rue Vivier le Duc 9B,1490,court-saint-etienne,50.6433751,4.60265792,,D,Wallonia,Walloon Brabant,"('Namur', 27.1, False)",,0,,1,1,,,,1,,1,720.0,0
https://immovlan.be/en/detail/apartment/for-sale/5150/franiere/vbe34384,Apartment,apartment,299000,sell,105,3,,Rue de Floreffe 16a,5150,franiere,50.43725306,4.73305847,,,Wallonia,Namur,"('Namur', 10.1, False)",,0,,,,,2,2,,,1,,0
https://immovlan.be/en/detail/residence/for-sale/6110/montigny-le-tilleul/rbw17451,House,residence,497000,sell,210,4,1,Rue de Goz&#xE9;e 8,6110,montigny-le-tilleul,50.390804,4.38654006,,E,Wallonia,Hainaut,"('Charleroi', 4.7, False)",Normal,0,,1,5,3,2,,1,60.0,1,2000.0,0
https://immovlan.be/en/detail/residence/for-sale/5575/patignies/vbe33620,House,residence,975000,sell,429,5,3,Rue de Malvoisin 49,5575,patignies,50.0015653,4.9508086,1996,C,Wallonia,Namur,"('Namur', 52.1, False)",Excellent,0,Fully equipped,1,2,4,1,,1,2624.0,1,3061.0,0
https://immovlan.be/en/detail/residence/for-sale/1332/genval/vbe33443,House,residence,499000,sell,165,4,1,Rue de Rosi&#xE8;res 108,1332,genval,50.725126,4.5205137,,D,Wallonia,Walloon Brabant,"('Bruxelles', 18.3, False)",,,,,,2,,,,,1,537.0,
https://immovlan.be/en/detail/residence/for-sale/8640/vleteren/rbw23656,House,residence,875000,sell,620,4,1,Westvleterendorp 16,8640,vleteren,50.92629,2.71795,,F,Flanders,West Flanders,"('Dunkerque', 26.7, False)",To be renovated,0,,,,,,,,,,,0
https://immovlan.be/en/detail/villa/for-sale/1640/sint-genesius-rode/vbe34924,House,villa,695000,sell,151,4,1,Avenue des Oies 4,1640,sint-genesius-rode,50.7373186,4.3771116,1968,E,Flanders,Flemish Brabant,"('Rhode-Saint-Genèse', 1.6, True)",Normal,0,Fully equipped,1,1,4,2,,1,599.0,1,712.0,0
https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbw19689,Apartment,apartment,439000,sell,77,2,,Zavelplein 3 0601,8670,koksijde,51.117909,2.6272537,1960,D,Flanders,West Flanders,"('De Panne', 3.2, True)",,,,,,,,6,,,,,1
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35040,Apartment,apartment,465000,sell,83,2,1,Rdpt de l&#x27;Etoile 5,1050,elsene,50.8235717,4.3766927,1959,C,Brussels,Brussels Capital Region,"('Bruxelles', 3.5, False)",Fully renovated,0,,,,,8,5,,,1,,1
https://immovlan.be/en/detail/residence/for-sale/6890/libin/vbe34305,House,residence,1150000,sell,220,4,4,Rue Champs des fonds 5,6890,libin,49.9628495,5.2269309,2025,A,Wallonia,Luxembourg,"('Arlon', 52.5, False)",New,0,Fully equipped,,,4,2,,1,1731.0,1,1891.0,0
https://immovlan.be/en/detail/residence/for-sale/5550/vresse-sur-semois/vbe18462,House,residence,1070000,sell,1500,24,,,5550,vresse-sur-semois,49.8725882,4.9326558,,,Wallonia,Namur,"('Namur', 66.2, False)",,0,,,,,4,,0,,0,,0
https://immovlan.be/en/detail/residence/for-sale/9080/lochristi/rbw13349,House,residence,1150000,sell,401,3,1,Lindestraat 10,9080,lochristi,51.1217224,3.8289214,1850,B,Flanders,East Flanders,"('Gent', 10.8, False)",Normal,0,,1,2,4,,,1,,1,,0
https://immovlan.be/en/detail/residence/for-sale/2490/balen/rbw19131,House,residence,114000,sell,43,1,1,Nieuwendijk,2490,balen,51.17313489,5.21334107,1970,F,Flanders,Antwerp,"('Geel', 15.5, False)",To be renovated,0,,,,4,,,,,,2054.0,0
https://immovlan.be/en/detail/residence/for-sale/4910/theux/vbe33631,House,residence,,sell,388,6,2,Place Sp&#xE9;der de Harven 12,4910,theux,50.545868,5.809726,1884,D,Wallonia,Liège,"('Verviers', 6.1, False)",Normal,0,,,,4,3,,1,652.0,1,1040.0,0
https://immovlan.be/en/detail/residence/for-sale/4850/moresnet/vbe21235,House,residence,1490000,sell,338,2,2,Rue du Village 3,4850,moresnet,50.7195623,5.9811152,,B,Wallonia,Liège,"('Aachen', 9.5, False)",Excellent,0,Super equipped,1,3,4,5,,1,,1,8495.0,1
https://immovlan.be/en/detail/mixed-building/for-sale/1080/sint-jans-molenbeek/vbe33924,House,mixed-building,550000,sell,240,2,2,,1080,sint-jans-molenbeek,50.8569755,4.3193694,1960,D,Brussels,Brussels Capital Region,"('Bruxelles', 2.4, False)",Excellent,,Fully equipped,1,1,2,,,1,135.0,1,,
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/rbw19713,House,residence,940000,sell,406,5,3,Dopheidelaan 12,2930,brasschaat,51.3371726,4.5329671,1986,B,Flanders,Antwerp,"('Antwerpen', 15.9, False)",,,,1,2,2,3,,,,1,2520.0,0
https://immovlan.be/en/detail/residence/for-sale/4790/burg/vbe34747,House,residence,950000,sell,,22,12,Am Schlossberg 76 &amp; 74,4790,burg,50.14005865,6.13427328,1970,,Wallonia,Liège,"('Verviers', 53.5, False)",,1,,1,2,4,,,,,,2518.0,0
https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbw17340,Apartment,apartment,895000,sell,128,2,1,Consciencestraat 6 0302,8370,blankenberge,51.313319,3.1238084,2022,A,Flanders,West Flanders,"('Bruges', 13.5, False)",Normal,,,,,,4,3,,,1,,1
https://immovlan.be/en/detail/residence/for-sale/2580/beerzel/rbw25171,House,residence,1150000,sell,292,4,2,Leuvensebaan 172,2580,beerzel,51.0321005,4.6345884,2011,A,Flanders,Antwerp,"('Malines', 11.0, False)",,,,,,4,,,1,,1,998.0,
https://immovlan.be/en/detail/residence/for-sale/5550/vresse-sur-semois/vbe19282,House,residence,1350000,sell,,,,RUE DE SEDAN 2,5550,vresse-sur-semois,49.83651,4.97871,2012,C,Wallonia,Namur,"('Arlon', 62.6, False)",Normal,1,,,,,,,0,,0,11000.0,
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe34000,Apartment,apartment,329000,sell,115,2,1,Avenue Lacombl&#xE9; 14,1030,schaarbeek,50.8501828,4.4005491,1959,E,Brussels,Brussels Capital Region,"('Bruxelles', 3.4, False)",Normal,0,,1,1,2,5,5,,,1,,1
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbw23913,Apartment,apartment,970000,sell,255,4,3,Van Eycklei 45 3,2018,antwerp,51.2099787,4.4171585,1967,A,Flanders,Antwerp,"('Antwerpen', 1.5, False)",Excellent,0,Super equipped,,,2,,3,,,1,,1
https://immovlan.be/en/detail/mansion/for-sale/4711/walhorn/vbe31080,House,mansion,1700000,sell,644,,5,Hochstra&#xDF;e 67,4711,walhorn,50.69532949,6.03451431,,,Wallonia,Liège,"('Aachen', 9.5, False)",,,,,,,,,1,6829.0,,,
https://immovlan.be/en/detail/residence/for-sale/5060/moignelee/vbe35133,House,residence,259000,sell,240,4,2,Rue de Fleurus 128,5060,moignelee,50.4455414,4.5844449,,C,Wallonia,Namur,"('Charleroi', 10.6, False)",Normal,,Fully equipped,1,1,2,,,1,635.0,1,865.0,
https://immovlan.be/en/detail/residence/for-sale/5170/bois-de-villers/vbe34912,House,residence,345000,sell,122,3,1,Rue de la tour 9,5170,bois-de-villers,50.38312495,4.80648842,1998,D,Wallonia,Namur,"('Namur', 10.3, False)",To be renovated,0,,1,1,4,,,,,1,3958.0,0
https://immovlan.be/en/detail/villa/for-sale/2970/schilde/rbw24587,House,villa,949000,sell,253,5,,Boskant 1,2970,schilde,51.2586997,4.6008521,1976,B,Flanders,Antwerp,"('Antwerpen', 14.5, False)",,,,,,,,,,,,2070.0,
https://immovlan.be/en/detail/cottage/for-sale/7910/anvaing/rbw15992,House,cottage,2280000,sell,1500,7,4,,7910,anvaing,50.6827667,3.5610313,,B,Wallonia,Hainaut,"('Tournai', 14.8, False)",Excellent,0,Fully equipped,1,10,4,4,,1,150000.0,1,20000.0,0
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbe33105,House,residence,99000,sell,90,3,1,,6060,gilly,50.4240349,4.4785997,,G,Wallonia,Hainaut,"('Charleroi', 2.8, False)",To renovate,0,Partially equipped,,,3,,,1,,1,,0
https://immovlan.be/en/detail/residence/for-sale/9100/sint-niklaas/rwc42799,House,residence,930000,sell,300,3,3,smisstraat 78,9100,sint-niklaas,51.1491886,4.1401367,,B,Flanders,East Flanders,"('Sint-Niklaas', 1.8, False)",Excellent,,Fully equipped,,,4,,,1,210.0,1,1100.0,0
https://immovlan.be/en/detail/residence/for-sale/5060/arsimont/vbe33274,House,residence,495000,sell,200,3,1,Rue du Palton 84A,5060,arsimont,50.43007469,4.65663218,2014,B,Wallonia,Namur,"('Charleroi', 15.2, False)",New,0,,1,1,4,1,,1,604.0,,604.0,0
https://immovlan.be/en/detail/residence/for-sale/7160/chapelle-lez-herlaimont/vbe32550,House,residence,90000,sell,,2,1,Rue de Lumechon 29,7160,chapelle-lez-herlaimont,50.493505,4.2812775,,D,Wallonia,Hainaut,"('La Louvière', 6.7, False)",To be renovated,0,,,,4,,,1,,,1540.0,0
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbw19005,House,residence,895000,sell,263,4,1,Lane 19,8000,brugge,51.2071742,3.2155323,1850,C,Flanders,West Flanders,"('Bruges', 0.7, False)",,,,,,2,,,,,,188.0,0
